"PEND_K1","PEND_K2","PEND_K3","PEND_K4","PEND_K5","PAND_K1","PAND_K2","PAND_K3","PAND_K4","PAND_K5","PENG_K1","PENG_K2","PENG_K3","PENG_K4","PENG_K5","PERS_K1","PERS_K2","PERS_K3","PERS_K4","PERS_K5"
3,4,2,2,2,3,2,3,3,3,3,3,2,2,3,3,3,3,3,3
2,3,3,3,3,2,3,2,2,2,3,3,3,2,3,2,2,3,3,3
2,3,2,2,2,2,3,3,2,2,3,2,3,2,2,2,2,2,2,2
2,2,3,3,2,3,3,3,4,4,2,2,1,1,2,2,2,2,2,2
3,3,4,3,3,2,2,2,2,2,2,1,1,2,2,3,3,3,3,3
3,3,4,4,3,2,3,2,3,4,1,1,1,2,2,2,2,3,3,3
2,3,3,3,3,2,2,3,2,2,3,3,2,3,2,3,3,3,3,3
2,2,1,1,2,2,3,3,2,3,3,2,2,2,2,2,2,3,2,2
2,2,2,1,1,2,3,2,3,2,2,2,2,2,1,2,2,2,2,2
2,2,1,2,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2
2,1,2,2,2,2,2,2,3,2,2,2,3,3,2,2,2,2,2,2
2,2,3,2,2,2,3,3,4,4,2,2,2,1,2,3,2,3,3,3
3,4,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3
2,3,2,2,2,2,4,3,3,3,3,3,2,2,2,3,3,3,3,3
2,2,1,2,1,2,2,3,2,2,2,3,3,2,2,2,2,2,3,3
4,3,4,4,4,2,2,2,2,2,3,1,2,2,2,2,2,2,2,2
2,2,3,2,2,2,1,2,1,1,1,2,1,2,2,2,2,2,2,2
2,2,2,2,1,2,1,1,1,1,2,2,2,2,3,2,2,2,2,2
2,2,2,2,3,3,3,3,2,3,3,3,3,3,3,2,2,2,2,2
1,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2
3,3,2,2,2,2,1,1,2,2,3,3,4,3,3,3,4,3,3,3
1,2,2,2,2,2,2,2,2,2,3,1,2,2,2,2,2,2,2,2
2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
3,3,2,3,2,1,2,1,1,2,2,2,2,2,2,1,1,1,1,1
4,3,3,3,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2
2,2,2,3,2,1,2,2,2,2,3,2,3,3,3,2,3,3,3,2
3,3,2,2,2,3,3,2,3,2,3,3,2,3,2,1,2,2,2,2
2,3,3,2,3,3,2,3,2,3,2,2,1,2,2,3,3,3,3,3
2,2,2,2,2,2,3,2,2,2,2,3,2,3,2,3,3,3,3,3
3,2,2,2,3,3,3,3,2,3,2,3,2,3,2,2,2,2,2,2
2,2,2,2,2,3,3,2,2,2,3,3,3,2,3,3,3,3,3,3
2,2,3,4,3,2,2,3,3,3,2,2,2,2,2,1,3,2,2,2
2,3,2,2,3,2,2,2,2,2,2,3,3,3,2,2,2,1,2,2
2,2,2,2,2,2,3,3,4,2,2,2,2,2,2,2,3,2,2,2
3,3,3,3,3,2,2,1,1,2,3,2,3,2,3,3,3,3,2,3
3,2,3,2,3,1,1,2,2,2,3,2,2,3,3,3,2,3,3,3
2,2,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,2,2,3
4,3,4,3,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2
3,2,3,3,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2
2,2,3,2,3,2,3,3,3,2,2,2,1,1,2,2,2,2,2,2
1,1,3,2,2,4,3,3,3,4,2,2,2,2,2,3,3,3,3,3
2,3,3,3,3,3,2,3,3,3,3,3,3,3,2,2,2,2,2,2
2,2,2,2,2,2,3,2,2,2,1,3,2,2,3,2,2,2,2,2
2,3,2,3,2,2,2,2,2,2,3,3,3,3,4,2,2,2,2,2
2,3,3,3,3,3,3,3,4,3,2,2,1,2,1,2,2,3,3,2
2,2,3,2,2,4,2,3,2,3,3,3,2,2,3,2,3,2,2,3
2,2,3,2,2,2,2,2,1,1,2,2,3,1,2,1,1,1,1,1
2,2,2,2,3,2,2,2,2,3,2,2,2,3,2,2,1,2,2,2
2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,1,1
2,3,2,2,2,3,2,4,2,2,2,2,2,2,3,2,2,2,2,2
2,2,1,2,1,2,3,2,2,2,3,3,3,2,2,3,3,3,3,3
2,3,2,3,2,3,2,2,3,3,3,2,2,3,3,4,2,3,4,3
3,3,3,3,3,2,2,2,2,3,3,2,3,2,2,2,3,2,2,3
3,2,1,2,2,3,3,2,3,3,3,2,2,2,3,2,2,2,2,2
3,3,3,3,2,1,2,2,1,2,2,2,2,2,3,2,2,2,2,2
4,3,3,3,4,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2
4,3,3,3,2,2,2,3,2,2,2,3,4,4,3,3,2,2,3,3
2,2,3,2,3,1,3,3,2,3,2,2,2,2,3,2,2,2,2,2
3,3,3,3,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3
2,2,1,1,1,2,3,3,3,3,3,3,2,3,2,2,2,2,2,2
1,2,2,1,2,2,2,2,1,1,3,2,3,3,3,3,3,2,3,3
2,2,2,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,4
3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2
3,3,2,2,2,2,3,2,2,2,2,3,3,2,2,2,3,3,3,3
2,2,2,2,2,2,1,2,3,2,2,2,2,3,3,3,3,2,2,2
2,2,2,2,3,2,2,2,2,3,2,2,3,2,2,1,1,2,1,1
2,2,2,3,2,2,2,1,2,2,3,2,3,3,3,2,2,2,2,2
2,3,2,4,3,2,3,2,3,2,2,2,2,2,2,2,2,3,2,3
2,2,2,3,3,3,2,3,2,2,1,1,1,1,1,3,3,2,2,2
2,2,2,1,1,3,2,2,1,2,2,2,2,2,2,2,2,3,2,2
2,2,2,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2
2,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,3,2,2,2,2,2,3,3,2,3,3,3,2,2,2,2,2,2,2
2,1,1,2,2,2,1,2,2,2,4,3,3,3,3,2,2,2,2,2
2,2,2,2,2,2,2,2,4,2,2,3,2,3,2,2,3,2,2,2
2,1,2,2,2,2,2,2,2,2,2,3,2,3,3,3,3,2,2,2
2,2,1,1,1,2,2,1,1,2,2,2,2,3,2,2,1,1,1,1
3,2,3,2,3,2,2,3,3,2,3,2,3,2,2,3,2,3,2,3
2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,3,3,3,3
2,3,3,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2
3,3,3,3,3,2,3,2,3,4,3,1,2,2,2,2,3,2,2,2
3,3,3,3,3,2,3,3,4,4,2,3,2,2,2,3,3,2,2,3
3,3,1,2,2,2,3,3,2,2,3,2,2,2,2,3,3,3,3,3
2,1,2,1,2,2,3,4,3,3,3,3,2,3,2,2,2,3,3,2
2,2,2,2,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3,3
3,2,2,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2,3,3
3,2,2,2,2,2,3,3,2,3,2,3,2,3,2,2,2,3,2,2
3,2,2,2,2,2,1,3,2,2,3,3,3,3,3,2,2,3,2,2
2,3,3,3,3,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2
3,3,3,3,3,1,2,2,2,2,2,3,3,2,3,2,2,2,2,2
3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1
3,3,2,3,4,3,2,2,3,2,2,2,2,2,2,2,3,2,2,2
3,3,3,3,3,2,3,2,2,2,2,3,2,3,2,2,2,2,3,2
2,3,2,2,2,1,2,1,1,2,3,2,2,2,2,1,2,2,2,2
2,1,2,1,2,1,1,1,1,1,3,3,3,3,4,2,1,1,1,1
2,2,2,2,1,3,3,2,3,2,2,3,2,3,2,2,2,2,2,2
2,3,2,2,2,3,3,3,2,3,4,2,2,3,2,2,2,2,2,2
3,3,3,2,3,3,2,3,3,2,4,4,3,3,3,3,3,3,3,3
2,2,3,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2
2,2,2,3,2,2,3,3,2,3,2,3,3,3,2,2,3,3,3,3
3,3,2,2,3,2,3,3,3,3,2,2,2,2,2,3,3,3,3,3
2,1,2,2,1,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1
2,2,2,2,2,2,2,3,3,3,3,3,2,2,3,2,2,2,2,2
2,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2
3,2,3,4,3,2,2,2,2,3,4,3,3,3,4,3,4,4,4,4
2,2,1,2,2,2,2,2,3,2,2,2,2,2,3,2,3,2,3,3
3,3,3,2,3,3,2,3,2,3,2,1,2,1,1,2,2,1,2,2
2,2,3,2,2,2,3,2,2,2,3,2,3,3,2,2,2,2,2,2
2,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,1,1,2,2,1
3,4,4,3,4,2,2,2,1,1,1,2,1,1,2,1,2,2,2,2
3,3,2,2,2,3,4,3,4,4,1,1,2,2,2,2,2,2,3,2
2,1,2,2,3,3,2,2,2,3,3,2,2,2,3,2,1,2,2,2
1,2,2,1,1,2,3,2,3,2,3,2,3,2,3,3,2,2,2,2
2,2,2,2,2,1,3,3,3,1,2,2,3,4,3,3,3,2,3,3
2,3,4,3,3,3,2,3,3,3,3,2,2,3,3,4,4,3,3,3
2,1,1,1,1,3,3,4,3,2,3,3,3,2,2,2,3,2,3,3
3,3,3,3,3,1,3,2,2,2,2,2,2,3,2,3,2,2,2,2
3,3,2,3,2,2,2,2,1,2,2,2,1,1,1,2,1,2,1,1
2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,3,2,3,2,2
1,1,2,1,1,1,1,2,2,2,3,2,2,3,3,3,2,2,2,2
2,1,2,3,2,3,2,3,2,3,3,3,2,2,2,2,3,3,3,3
1,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,3,4,3,3,4,2,3,3,3,3,3,3,3,4,4
1,1,2,2,3,2,3,3,2,3,2,2,3,2,2,2,2,2,2,2
3,2,4,3,2,3,2,3,3,3,2,2,2,1,2,3,2,2,2,2
3,2,1,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2
2,2,2,3,2,1,1,2,2,2,3,2,3,3,3,2,2,2,2,2
2,1,1,2,1,3,3,2,2,2,2,3,2,3,3,2,2,2,2,2
3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
3,3,2,3,3,2,2,2,2,2,1,2,1,1,1,1,2,2,1,1
2,2,1,2,3,3,3,2,2,2,2,2,2,2,2,2,1,2,2,2
2,2,2,1,2,2,2,2,2,2,2,3,3,2,2,2,3,2,3,3
3,3,2,2,3,3,3,3,2,3,2,3,3,3,2,3,4,3,3,3
3,3,3,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2
2,3,3,3,4,3,2,2,3,3,2,3,3,3,3,3,2,2,2,2
2,2,2,2,3,2,3,2,2,2,2,2,2,2,1,2,2,1,2,2
2,2,2,2,2,2,3,3,4,3,3,3,2,3,3,3,3,3,3,3
3,2,3,3,3,1,1,2,1,2,2,3,3,3,3,2,2,3,3,3
3,2,3,2,3,2,2,2,3,3,2,2,2,1,2,2,2,2,2,2
4,4,4,4,3,2,2,2,3,2,2,2,2,2,1,2,3,3,3,2
2,2,2,2,2,3,2,2,3,3,2,2,2,2,3,3,2,3,3,2
2,3,2,2,1,2,2,2,3,3,2,2,2,2,2,4,2,3,3,3
2,1,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2
1,1,2,2,2,4,3,3,3,3,3,2,3,2,2,1,2,1,1,1
2,3,2,3,3,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2
1,2,1,1,1,2,2,2,2,2,1,1,1,1,2,2,1,2,1,1
2,2,2,2,2,2,3,2,2,2,4,2,2,2,2,2,1,2,2,2
2,2,3,3,3,2,2,2,2,2,2,2,4,2,3,2,2,2,2,2
2,2,3,4,3,1,2,2,2,2,3,2,3,3,3,3,2,3,3,3
2,2,2,3,2,1,2,2,2,2,1,2,2,1,1,1,1,1,1,1
2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
2,2,2,3,2,2,3,3,3,3,3,2,2,2,2,3,3,3,3,3
2,3,2,2,2,2,3,3,2,2,2,3,2,3,3,2,2,2,2,2
2,3,3,2,2,2,2,3,2,2,2,3,2,2,2,3,3,3,2,2
2,2,2,1,2,2,3,2,2,2,3,2,2,3,2,3,2,2,3,3
3,2,2,2,2,2,2,3,2,3,2,2,2,2,3,3,3,3,3,3
2,2,2,2,1,2,2,2,2,2,2,2,2,3,3,2,2,3,2,2
2,1,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
2,3,2,3,4,2,2,2,2,2,2,2,3,2,3,4,3,3,3,3
3,3,3,2,3,1,3,2,2,3,3,3,3,4,4,4,4,4,4,4
2,2,2,2,2,4,2,3,2,2,3,2,3,3,3,2,2,2,2,2
2,2,3,3,2,2,3,2,3,2,2,2,2,2,2,2,3,2,2,2
2,2,2,2,2,2,2,2,2,2,1,1,3,2,2,2,2,3,2,2
2,2,2,2,2,4,3,4,3,3,2,2,2,2,2,2,2,2,2,2
2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2
3,3,3,2,3,2,2,3,3,3,1,2,4,2,3,2,3,3,3,3
2,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,2,2,2,2
2,3,3,3,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2
2,3,3,3,3,2,3,3,3,3,1,2,1,2,2,3,2,3,2,2
4,3,3,3,3,2,1,2,2,2,1,1,2,1,1,2,2,2,2,2
2,2,2,2,2,3,2,2,3,3,2,1,1,1,1,3,2,2,2,2
2,2,2,3,2,2,3,2,1,2,3,3,2,3,3,2,1,2,2,2
2,2,2,2,1,4,2,2,3,3,1,2,2,1,2,3,2,2,2,2
3,4,3,2,3,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2
3,3,3,3,3,2,2,2,2,2,3,2,2,2,2,1,2,2,2,1
3,2,3,3,2,2,3,3,3,2,2,1,2,1,1,2,2,2,2,2
2,3,3,2,3,1,2,2,2,1,2,2,3,2,3,2,2,2,2,2
1,2,2,3,3,3,1,3,3,3,3,2,2,2,3,3,3,3,3,3
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3
2,2,2,2,3,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1
4,4,4,4,4,3,3,2,3,3,3,2,3,2,2,2,3,3,3,3
2,1,2,2,2,3,2,3,2,3,3,2,2,2,1,2,2,2,2,2
2,2,2,1,2,2,2,2,1,2,2,2,2,3,2,2,2,3,2,3
2,2,3,2,3,3,2,2,2,2,2,2,1,1,2,2,2,2,2,2
3,3,3,3,3,2,2,2,3,2,3,3,2,2,3,2,3,2,2,2
3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2
2,2,3,3,2,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3
2,2,2,2,2,3,2,3,2,2,3,2,2,3,2,2,1,2,2,2
2,2,2,1,2,3,3,2,2,2,3,3,3,3,3,2,2,2,2,3
3,2,3,3,3,2,2,2,3,2,3,2,2,3,2,2,3,2,2,2
2,2,2,2,2,2,3,3,2,3,2,2,2,3,3,3,3,3,3,3
2,2,2,1,1,2,3,3,3,3,1,1,2,2,2,3,2,2,2,2
3,3,3,3,2,2,1,2,1,2,2,3,2,2,2,2,2,2,2,2
2,2,2,2,3,3,3,2,2,2,2,3,3,2,2,2,2,2,3,2
3,2,3,3,3,2,2,2,3,2,2,1,1,1,1,1,1,2,2,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2
2,2,3,3,2,3,2,1,2,2,2,2,2,3,2,1,2,2,2,2
2,2,3,3,2,3,2,2,3,2,1,2,1,1,1,1,1,2,1,1
3,3,3,2,2,2,2,1,2,2,3,3,2,3,2,3,3,3,3,3
2,2,2,2,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2
3,3,3,4,3,2,2,1,1,1,1,2,2,2,2,3,2,2,2,2
3,2,2,3,3,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2
3,3,3,2,3,3,2,3,2,3,2,2,2,2,2,3,2,2,2,2
3,3,2,3,3,3,4,3,2,3,2,2,3,2,3,3,2,3,2,3
2,2,2,2,3,3,2,4,3,3,1,2,2,3,2,2,2,1,2,2
2,2,2,2,3,3,2,3,3,3,2,2,2,3,3,2,2,3,3,3
2,2,2,3,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2
2,2,3,2,3,3,3,2,2,2,4,4,4,3,4,3,2,2,2,2
3,2,4,2,2,2,2,1,2,1,3,2,2,2,2,2,3,2,2,2
3,3,3,3,4,3,4,3,3,3,2,1,2,2,3,2,3,3,3,3
2,2,2,2,2,3,2,2,2,2,4,3,3,2,3,3,2,2,2,2
3,2,3,3,2,2,2,2,2,3,3,3,3,3,3,3,4,4,3,3
2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,2,3,2,2,2
2,2,2,2,2,2,2,3,3,2,1,2,2,2,2,2,1,2,2,2
2,2,2,2,2,1,2,2,2,2,4,2,3,2,3,2,3,2,1,2
2,2,2,3,3,3,3,2,3,2,4,3,3,3,3,3,3,3,3,3
2,2,2,2,2,2,2,3,2,3,3,3,3,3,4,2,3,2,2,2
2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,3,2,2,2
3,2,3,2,2,3,2,1,2,1,2,2,2,2,2,2,2,1,1,1
3,3,2,3,2,2,2,3,3,3,3,3,3,3,2,2,3,3,3,3
2,2,2,2,2,3,2,2,3,3,4,3,3,2,3,2,2,2,2,2
4,3,2,3,2,2,2,2,2,2,3,2,3,2,3,3,2,2,2,2
4,3,3,2,3,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2
